year,quarter,cvd
1987,1,4761
1987,2,4217
1987,3,3950
1987,4,4639
1988,1,5354
1988,2,4028
1988,3,3971
1988,4,4265
1989,1,5373
1989,2,3910
1989,3,3694
1989,4,4386
1990,1,4588
1990,2,3811
1990,3,3701
1990,4,4123
1991,1,4247
1991,2,3954
1991,3,3508
1991,4,4307
1992,1,4561
1992,2,3712
1992,3,3635
1992,4,4070
1993,1,4427
1993,2,3749
1993,3,3545
1993,4,4492
1994,1,4692
1994,2,3832
1994,3,3602
1994,4,4143
1995,1,4066
1995,2,3798
1995,3,3707
1995,4,4222
1996,1,4460
1996,2,3730
1996,3,3547
1996,4,4050
1997,1,4606
1997,2,3676
1997,3,3613
1997,4,4270
1998,1,4596
1998,2,3784
1998,3,3534
1998,4,4067
1999,1,4622
1999,2,4133
1999,3,3669
1999,4,4664
2000,1,4884
2000,2,3847
2000,3,3714
2000,4,4189
